Date,Avg Case Closed Per CSE,Avg Case Closed Per CSA,Avg Case Closed Per TL,Avg Case Closed per Temp,Average Case Closed per CfS,Avg Case Closed per Sup,,,,,,,,,,,,,,,,,,
18 Apr (Tue),29,0,6,0,0,0,,,,,,,,,,,,,,,,,,
19 Apr (Wed),28,0,7,0,0,0,,,,,,,,,,,,,,,,,,
20 Apr (Thu),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
21 Apr (Fri),29,0,0,0,0,0,,,,,,,,,,,,,,,,,,
22 Apr (Sat),9,0,9,0,0,0,,,,,,,,,,,,,,,,,,
23 Apr (Sun),1,0,5,0,0,0,,,,,,,,,,,,,,,,,,
24 Apr (Mon),27,0,3,0,0,0,,,,,,,,,,,,,,,,,,
25 Apr (Tue),28,0,6,0,0,0,,,,,,,,,,,,,,,,,,
26 Apr (Wed),29,0,4,0,0,0,,,,,,,,,,,,,,,,,,
27 Apr (Thu),25,0,0,0,0,0,,,,,,,,,,,,,,,,,,
28 Apr (Fri),25,0,0,0,0,0,,,,,,,,,,,,,,,,,,
29 Apr (Sat),9,0,0,0,0,0,,,,,,,,,,,,,,,,,,
30 Apr (Sun),1,0,3,0,0,0,,,,,,,,,,,,,,,,,,
1 May (Mon),0,0,8,0,0,0,,,,,,,,,,,,,,,,,,
2 May (Tue),24,0,8,23,0,0,,,,,,,,,,,,,,,,,,
3 May (Wed),32,0,6,25,0,0,,,,,,,,,,,,,,,,,,
4 May (Thu),22,0,8,16,0,0,,,,,,,,,,,,,,,,,,
5 May (Fri),29,0,0,17,0,0,,,,,,,,,,,,,,,,,,
6 May (Sat),1,0,10,0,0,0,,,,,,,,,,,,,,,,,,
7 May (Sun),1,0,11,0,0,0,,,,,,,,,,,,,,,,,,
8 May (Mon),34,0,5,23,0,0,,,,,,,,,,,,,,,,,,
9 May (Tue),29,0,3,0,0,0,,,,,,,,,,,,,,,,,,
10 May (Wed),28,0,7,0,0,0,,,,,,,,,,,,,,,,,,
11 May (Thu),24,0,1,0,0,0,,,,,,,,,,,,,,,,,,
12 May (Fri),31,0,0,0,0,0,,,,,,,,,,,,,,,,,,
13 May (Sat),9,0,3,0,0,0,,,,,,,,,,,,,,,,,,
14 May (Sun),0,0,4,0,0,0,,,,,,,,,,,,,,,,,,
15 May (Mon),30,0,4,0,0,0,,,,,,,,,,,,,,,,,,
16 May (Tue),29,0,2,0,0,0,,,,,,,,,,,,,,,,,,
17 May (Wed),28,0,4,0,0,0,,,,,,,,,,,,,,,,,,
18 May (Thu),28,0,0,0,0,0,,,,,,,,,,,,,,,,,,
19 May (Fri),24,0,0,0,0,0,,,,,,,,,,,,,,,,,,
20 May(Sat),0,0,4,0,0,0,,,,,,,,,,,,,,,,,,
21 May(Sun),0,0,1,0,0,0,,,,,,,,,,,,,,,,,,
22 May(Mon),26,0,6,19,0,0,,,,,,,,,,,,,,,,,,
23 May (Tue),21,0,4,23,0,0,,,,,,,,,,,,,,,,,,
24 May (Wed),22,0,0,19,0,0,,,,,,,,,,,,,,,,,,
25 May(Thu),26,0,0,21,0,0,,,,,,,,,,,,,,,,,,
26 May(Fri),24,0,2,16,0,0,,,,,,,,,,,,,,,,,,
27 May(Sat),11,0,4,0,0,0,,,,,,,,,,,,,,,,,,
28 May(Sun),1,0,4,0,0,0,,,,,,,,,,,,,,,,,,
29 May(Mon),19,0,2,20,0,0,,,,,,,,,,,,,,,,,,
30 May(Tue),26,0,14,23,0,0,,,,,,,,,,,,,,,,,,
31 May(Wed),26,0,0,15,0,0,,,,,,,,,,,,,,,,,,
1 Jun(Thu),28,0,0,19,0,0,,,,,,,,,,,,,,,,,,
2 Jun(Fri),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
3 Jun(Sat),0,0,3,0,0,0,,,,,,,,,,,,,,,,,,
4 Jun(Sun),1,0,4,0,0,0,,,,,,,,,,,,,,,,,,
5 Jun(Mon),29,0,6,0,0,0,,,,,,,,,,,,,,,,,,
6 Jun(Tue),29,0,15,0,0,0,,,,,,,,,,,,,,,,,,
7 Jun(Wed),27,0,8,0,0,0,,,,,,,,,,,,,,,,,,
8 Jun (Thu),25,0,0,0,0,0,,,,,,,,,,,,,,,,,,
9 Jun (Fri),27,0,0,0,0,0,,,,,,,,,,,,,,,,,,
10 Jun (Sat),0,0,2,0,0,0,,,,,,,,,,,,,,,,,,
11 Jun (Sun),0,0,3,0,0,0,,,,,,,,,,,,,,,,,,
12 Jun (Mon),22,0,5,22,0,0,,,,,,,,,,,,,,,,,,
13 Jun (Tue),24,0,6,17,0,0,,,,,,,,,,,,,,,,,,
14 Jun (Wed),24,0,5,17,0,0,,,,,,,,,,,,,,,,,,
15 Jun (Thu),27,0,0,23,0,0,,,,,,,,,,,,,,,,,,
16 Jun (Fri),24,0,0,22,0,0,,,,,,,,,,,,,,,,,,
17 Jun (Sat),2,0,5,0,0,0,,,,,,,,,,,,,,,,,,
18 Jun (Sun),0,0,9,0,0,0,,,,,,,,,,,,,,,,,,
19 Jun (Mon),22,0,5,22,0,0,,,,,,,,,,,,,,,,,,
20 Jun (Tue),23,0,5,15,0,0,,,,,,,,,,,,,,,,,,
21 Jun (Wed),24,0,5,32,0,0,,,,,,,,,,,,,,,,,,
22 Jun (Thu),22,0,6,21,0,0,,,,,,,,,,,,,,,,,,
23 Jun (Fri),26,0,0,29,0,0,,,,,,,,,,,,,,,,,,
24 Jun (Sat),0,0,7,0,0,0,,,,,,,,,,,,,,,,,,
25 Jun (Sun),0,0,7,0,0,0,,,,,,,,,,,,,,,,,,
26 Jun (Mon),27,0,4,22,0,0,,,,,,,,,,,,,,,,,,
27 Jun (Tue),25,0,0,16,0,0,,,,,,,,,,,,,,,,,,
28 Jun (Wed),23,0,3,19,0,0,,,,,,,,,,,,,,,,,,
29 Jun (Thu),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
30 Jun (Fri),24,0,0,22,0,0,,,,,,,,,,,,,,,,,,
1 Jul (Sat),0,0,8,0,0,0,,,,,,,,,,,,,,,,,,
2 Jul (Sun),0,0,6,0,0,0,,,,,,,,,,,,,,,,,,
3 Jul (Mon),32,0,4,26,0,0,,,,,,,,,,,,,,,,,,
4 Jul (Tue),27,0,11,25,0,0,,,,,,,,,,,,,,,,,,
5 Jul (Wed),26,0,19,25,0,0,,,,,,,,,,,,,,,,,,
6 Jul (Thu),32,0,0,21,0,0,,,,,,,,,,,,,,,,,,
7 Jul (Fri),35,0,0,16,0,0,,,,,,,,,,,,,,,,,,
8 Jul (Sat),0,0,20,0,0,0,,,,,,,,,,,,,,,,,,
9 Jul (Sun),0,0,11,0,0,0,,,,,,,,,,,,,,,,,,
